iter	RMSE
0	1.158104932
1	1.153714254
2	1.149813067
3	1.146119879
4	1.142296125
5	1.138866617
6	1.135546593
7	1.13263888
8	1.129573649
9	1.1273145
10	1.124555763
11	1.122627032
12	1.120846547
13	1.118924818
14	1.117062121
15	1.115624959
16	1.113989373
17	1.112543321
18	1.111361722
19	1.110105198
20	1.109133006
21	1.108053513
22	1.106667159
23	1.10545954
24	1.10421757
25	1.1032034
26	1.102350673
27	1.101179366
28	1.099759604
29	1.098678814
30	1.097757668
31	1.096436983
32	1.095647605
33	1.095121108
34	1.09429272
35	1.093671086
36	1.092590388
37	1.092136361
38	1.091270369
39	1.090646094
40	1.089766936
41	1.089013489
42	1.088555965
43	1.087888164
44	1.087166875
45	1.086573349
46	1.085980974
47	1.085008814
48	1.084345022
49	1.08399116
50	1.083450219
51	1.083105193
52	1.082507277
53	1.082065861
54	1.081486608
55	1.081054656
56	1.08041852
57	1.079595047
58	1.079112117
59	1.078502435
60	1.078027632
61	1.077504293
62	1.077159268
63	1.076798362
64	1.076454802
65	1.075990594
66	1.075628581
67	1.075151636
68	1.074842271
69	1.074586779
70	1.074255185
71	1.073942608
72	1.073612397
73	1.073333304
74	1.072847759
75	1.072440158
76	1.071945475
77	1.071640414
78	1.071368136
79	1.071044246
80	1.070751738
81	1.070369496
82	1.069947034
83	1.069720495
84	1.069490287
85	1.069319662
86	1.06891919
87	1.068650114
88	1.068218221
89	1.067866991
90	1.067561774
91	1.067316647
92	1.066921161
93	1.066630057
94	1.066464544
95	1.066220454
96	1.066076138
97	1.065774217
98	1.065527476
99	1.065335759
100	1.06498198
101	1.064813479
102	1.064646807
103	1.064438636
104	1.064306656
105	1.063927458
106	1.063703009
107	1.063345685
108	1.063133789
109	1.062918841
110	1.062421922
111	1.062012676
112	1.061735113
113	1.061398843
114	1.061052754
115	1.060795982
116	1.060584391
117	1.0604158
118	1.060134574
119	1.05983058
120	1.059562505
121	1.059422804
122	1.05917796
123	1.058955014
124	1.058750939
125	1.058526083
126	1.058291044
127	1.058052629
128	1.057895391
129	1.057704181
130	1.057476606
131	1.057276528
132	1.05715425
133	1.056951136
134	1.056787746
135	1.056511514
136	1.056260836
137	1.056126609
138	1.055917448
139	1.055693813
140	1.055397848
141	1.055255583
142	1.055136361
143	1.054947369
144	1.054753801
145	1.054599845
146	1.054347925
147	1.05417454
148	1.053962277
149	1.05382626
150	1.053735125
151	1.053639496
152	1.053530556
153	1.053176994
154	1.053014515
155	1.052873475
156	1.052737948
157	1.052643682
158	1.052515547
159	1.052342868
160	1.052057252
161	1.051826551
162	1.051635024
163	1.051312447
164	1.051146248
165	1.050998786
166	1.050824914
167	1.0506614
168	1.0505213
169	1.050387504
170	1.05014806
171	1.050042993
172	1.04990354
173	1.049740627
174	1.049558327
175	1.049415805
176	1.049180749
177	1.049022177
178	1.048899343
179	1.04882092
180	1.048697535
181	1.048526575
182	1.048349475
183	1.048251802
184	1.048096554
185	1.048004722
186	1.047871854
187	1.047578392
188	1.047462699
189	1.047356847
190	1.047238852
191	1.047055115
192	1.046845476
193	1.046728168
194	1.046589269
195	1.046505688
196	1.046438858
197	1.046244046
198	1.046076413
199	1.045927137
200	1.045798714
201	1.045594665
202	1.045495767
203	1.045406254
204	1.045337545
205	1.045155462
206	1.044954243
207	1.044801799
208	1.044539361
209	1.04438941
210	1.044228968
211	1.044125261
212	1.043965727
213	1.043879926
214	1.043718658
215	1.043584211
216	1.043440842
217	1.0432131
218	1.043046628
219	1.042975845
220	1.042866598
221	1.042792109
222	1.042665251
223	1.042549701
224	1.042325742
225	1.042201759
226	1.042005374
227	1.041814071
228	1.041719453
229	1.041578996
230	1.041448037
231	1.041308293
232	1.04120149
233	1.041084911
234	1.040985793
235	1.040842704
236	1.040761579
237	1.040684785
238	1.040565635
239	1.040457118
240	1.040407543
241	1.040291835
242	1.040213025
243	1.040113009
244	1.039994972
245	1.039845075
246	1.039743136
247	1.03967388
248	1.039566532
249	1.039493529
250	1.039345507
251	1.039231578
252	1.039107081
253	1.039042911
254	1.038947901
255	1.038873987
256	1.038831971
257	1.038768748
258	1.038507971
259	1.038452681
260	1.038362059
261	1.038280093
262	1.038182583
263	1.038066047
264	1.03800284
265	1.037871837
266	1.037782364
267	1.037670375
268	1.037551277
269	1.037359243
270	1.037218679
271	1.037084873
272	1.036983985
273	1.036903503
274	1.036833196
275	1.036767933
276	1.036698701
277	1.036647299
278	1.036563702
279	1.0364806
280	1.036394936
281	1.036244301
282	1.036179118
283	1.03606705
284	1.035976934
285	1.035908847
286	1.035809378
287	1.035655871
288	1.035611917
289	1.035483086
290	1.035420007
291	1.035331393
292	1.035254676
293	1.035200074
294	1.035140444
295	1.035079492
296	1.034857264
297	1.034777207
298	1.034695059
299	1.034494895
300	1.034361693
301	1.034296008
302	1.034251058
303	1.034113945
304	1.034007879
305	1.033931997
306	1.033791311
307	1.033673657
308	1.033588654
309	1.033512274
310	1.033428151
311	1.033311834
312	1.033244984
313	1.033172928
314	1.032971259
315	1.032867833
316	1.032813673
317	1.032699809
318	1.032633513
319	1.032530083
320	1.032474809
321	1.032403118
322	1.032344675
323	1.032286332
324	1.032152525
325	1.032099701
326	1.032026239
327	1.031949417
328	1.031889772
329	1.031827672
330	1.031760345
