iter	Passed	Remaining
0	132	66291
1	264	65827
2	391	64836
3	534	66336
4	684	67813
5	832	68509
6	984	69326
7	1109	68257
8	1252	68324
9	1388	68027
10	1577	70124
11	1726	70227
12	1870	70082
13	2035	70659
14	2171	70208
15	2305	69738
16	2464	70034
17	2618	70113
18	2767	70053
19	2899	69580
20	3026	69038
21	3156	68573
22	3294	68319
23	3428	67993
24	3571	67860
25	3748	68335
26	3908	68476
27	4067	68563
28	4229	68690
29	4395	68862
30	4548	68806
31	4722	69070
32	4894	69263
33	5050	69218
34	5208	69200
35	5353	68996
36	5526	69155
37	5681	69077
38	5856	69230
39	6031	69362
40	6200	69414
41	6349	69240
42	6496	69046
43	6664	69070
44	6841	69173
45	6993	69023
46	7149	68910
47	7316	68899
48	7474	68794
49	7610	68493
50	7750	68232
51	7887	67954
52	8053	67919
53	8187	67626
54	8349	67558
55	8510	67472
56	8656	67278
57	8802	67081
58	8932	66764
59	9069	66507
60	9184	66095
61	9317	65824
62	9448	65539
63	9596	65377
64	9749	65244
65	9898	65092
66	10035	64858
67	10177	64658
68	10331	64531
69	10460	64257
70	10587	63973
71	10713	63683
72	10844	63434
73	10968	63140
74	11097	62884
75	11222	62611
76	11344	62322
77	11481	62118
78	11632	61991
79	11774	61817
80	11925	61687
81	12065	61503
82	12212	61355
83	12367	61246
84	12500	61029
85	12643	60864
86	12806	60794
87	12965	60702
88	13117	60578
89	13264	60428
90	13408	60265
91	13533	60018
92	13656	59764
93	13796	59589
94	13927	59377
95	14064	59189
96	14194	58971
97	14335	58803
98	14458	58565
99	14585	58341
100	14722	58160
101	14860	57985
102	15001	57819
103	15143	57660
104	15267	57434
105	15400	57244
106	15534	57055
107	15695	56969
108	15834	56799
109	15950	56551
110	16107	56449
111	16249	56292
112	16382	56106
113	16527	55962
114	16674	55823
115	16801	55619
116	16935	55437
117	17064	55241
118	17196	55057
119	17334	54892
120	17466	54710
121	17599	54529
122	17733	54354
123	17887	54240
124	18035	54107
125	18188	53986
126	18328	53829
127	18451	53624
128	18606	53513
129	18753	53374
130	18891	53212
131	19017	53018
132	19137	52806
133	19248	52574
134	19394	52437
135	19547	52319
136	19698	52193
137	19822	51997
138	19940	51787
139	20065	51596
140	20201	51435
141	20325	51243
142	20444	51040
143	20572	50858
144	20703	50687
145	20827	50499
146	20956	50323
147	21079	50134
148	21207	49959
149	21336	49786
150	21455	49588
151	21575	49396
152	21693	49199
153	21833	49053
154	21970	48901
155	22090	48712
156	22221	48547
157	22346	48370
158	22471	48193
159	22594	48014
160	22725	47851
161	22853	47682
162	22995	47542
163	23139	47406
164	23280	47266
165	23412	47106
166	23542	46944
167	23674	46785
168	23807	46629
169	23941	46475
170	24080	46330
171	24202	46153
172	24335	45998
173	24465	45838
174	24604	45694
175	24736	45536
176	24873	45390
177	25005	45235
178	25123	45054
179	25239	44869
180	25363	44701
181	25495	44546
182	25633	44403
183	25752	44227
184	25882	44070
185	25992	43879
186	26121	43721
187	26260	43581
188	26377	43403
189	26508	43250
190	26633	43088
191	26758	42925
192	26891	42775
193	27024	42626
194	27155	42473
195	27302	42346
196	27439	42204
197	27566	42046
198	27702	41901
199	27836	41754
200	27973	41611
201	28103	41459
202	28222	41291
203	28363	41154
204	28484	40989
205	28628	40858
206	28790	40751
207	28918	40597
208	29046	40443
209	29177	40292
210	29316	40153
211	29441	39995
212	29570	39843
213	29700	39693
214	29832	39545
215	29963	39395
216	30096	39250
217	30237	39114
218	30380	38980
219	30510	38831
220	30656	38702
221	30790	38557
222	30925	38414
223	31079	38294
224	31206	38141
225	31346	38004
226	31477	37856
227	31605	37705
228	31735	37555
229	31870	37413
230	32001	37265
231	32121	37105
232	32251	36957
233	32384	36813
234	32524	36676
235	32662	36538
236	32787	36384
237	32910	36229
238	33039	36080
239	33170	35935
240	33317	35805
241	33466	35678
242	33591	35526
243	33723	35381
244	33870	35253
245	34022	35129
246	34146	34975
247	34275	34828
248	34413	34690
249	34543	34543
250	34668	34391
251	34836	34283
252	34981	34151
253	35108	34002
254	35255	33872
255	35391	33732
256	35533	33597
257	35670	33458
258	35811	33322
259	35929	33165
260	36083	33042
261	36226	32908
262	36361	32766
263	36519	32646
264	36664	32513
265	36806	32378
266	36938	32234
267	37068	32089
268	37214	31957
269	37343	31811
270	37489	31679
271	37642	31553
272	37772	31407
273	37894	31255
274	38022	31109
275	38144	30958
276	38270	30810
277	38400	30664
278	38524	30516
279	38658	30374
280	38778	30222
281	38906	30076
282	39043	29938
283	39172	29793
284	39322	29664
285	39467	29531
286	39618	29403
287	39775	29279
288	39921	29146
289	40051	29002
290	40197	28870
291	40320	28721
292	40446	28575
293	40560	28420
294	40677	28267
295	40798	28118
296	40927	27973
297	41049	27825
298	41181	27684
299	41312	27541
300	41449	27403
301	41557	27246
302	41662	27087
303	41789	26943
304	41920	26801
305	42057	26663
306	42184	26519
307	42317	26379
308	42454	26241
309	42576	26095
310	42705	25953
311	42843	25816
312	42975	25675
313	43104	25533
314	43239	25394
315	43365	25251
316	43487	25104
317	43613	24961
318	43749	24823
319	43880	24682
320	44015	24544
321	44153	24407
322	44288	24269
323	44420	24129
324	44539	23982
325	44667	23840
326	44786	23694
327	44923	23557
328	45043	23411
329	45173	23271
330	45322	23140
